1045,互换,定义一个带参的宏，使两个参数的值互换，并写出程序，输入两个数作为使用宏时的实参。输出已交换后的两个值。,两个数，空格隔开,交换后的两个数，空格隔开,1 2,2 1
1046,mod,输入两个整数，求他们相除的余数。用带参的宏来实现，编程序。,a b两个数,a/b的余数,3 2,1
1047,三角形面积,"三角形面积=SQRT(S*(S-a)*(S-b)*(S-c))
其中S=(a+b+c)/2，a、b、c为三角形的三边。
定义两个带参的宏，一个用来求area，
另一个宏用来求S。
写程序，在程序中用带实参的宏名来求面积area。","a b c三角形的三条边,可以是小数。",三角形面积，保留3位小数,3 4 5,6.000
1048,闰年判断,"给年份year，定义一个宏，以判别该年份是否闰年。提示：宏名可以定义为LEAP_YEAR，形参为y，既定义宏的形式为  
#define LEAP_YEAR(y) （读者设计的字符串）",一个年份,"根据是否闰年输出，是输出""L"",否输出""N""",2000,L
1049,输出吧,"请设计输出实数的格式，包括：⑴一行输出一个实数；⑵一行内输出两个实数；⑶一行内输出三个实数。实数用""6.2f""格式输出。",一个实数，float范围,"输出3行，第一行打印一遍输入的数，第二行打印两遍，第三行打印三遍。
第二行和第三行，用空格分隔同一行的数字。
实数用""6.2f""格式输出。",0.618,"0.62
  0.62   0.62
  0.62   0.62   0.62"
1000,按要求输出信息(1),,无,,无,This is my first c program!
1001,按要求输出信息(2),,,,无,"******************** 
Very Good! 
********************"
1002,求两个整数之和(1),,,,无,sum=579
1003,求两整数数之和(2),,,,5 6,11
1004,求两个整数之和(3),,,,"1 5
10 20","6
30"
1005,矩形面积,,输入数a表示矩形的长，输入数b表示矩形的宽。结果保留两位小数,输出矩形的面积,1 2,2.00
1006,求平均值,,输入三个数a，b，c。,输出a，b，c的和以及平均值，结果保留两位小数,4.3 5.1 9.8,19.20 6.40
1007,幸运8倍,,,,3,24
1008,最大值,编写一个程序，输入a、b、c三个值，输出其中最大值。,一行数组，分别为a b c,a b c其中最大的数,10 20 30,30
1009,译码,"要将""China""译成密码，译码规律是：用原来字母后面的第4个字母代替原来的字母．例如，字母""A""后面第4个字母是""E""．""E""代替""A""。因此，""China""应译为""Glmre""。请编一程序，用赋初值的方法使cl、c2、c3、c4、c5五个变量的值分别为，’C’、’h’、’i’、’n’、’a’，经过运算，使c1、c2、c3、c4、c5分别变为’G’、’l’、’m’、’r’、’e’，并输出。",China,加密后的China,China,Glmre
1010,我是圆  （精度问题，欢迎尝试踩坑）,"设圆半径r，圆柱高h
求圆周长C1、圆面积Sa、圆球表面积Sb、圆球体积Va、圆柱体积Vb。
用scanf输入数据，输出计算结果，输出时要求文字说明，取小数点后两位数字。请编程序。
PI＝3.14",两个浮点数，r和h,"圆周长C1、圆面积Sa、圆球表面积Sb、圆球体积Va、圆柱体积Vb。
保留两位小数，每个结果后换行。",1.5 3,"C1=9.42
Sa=7.06    //精度问题数据
Sb=28.26
Va=14.13
Vb=21.20   //精度问题数据"
1011,摄氏度转换,"输入一个华氏温度，要求输出摄氏温度。公式为  
c=5(F-32)/9  
输出要求有文字说明，取位2小数。",一个华氏温度，浮点数,摄氏温度，浮点两位小数,-40,c=-40.00
1012,分段函数,有一个函数y={ x      x<1| 2x-1   1<=x<10\ 3x-11  x>=10写一段程序，输入x，输出y,一个数x,一个数y,14,31
1013,成绩转换,"给出一百分制成绩，要求输出成绩等级‘A’、‘B’、‘C’、‘D’、‘E’。
90分以上为A
80-89分为B
70-79分为C
60-69分为D
60分以下为E",一个整数0－100以内,一个字符，表示成绩等级,90,A
1014,整数分解,"给出一个不多于5位的整数，要求
1、求出它是几位数
2、分别输出每一位数字
3、按逆序输出各位数字，例如原数为321,应输出123",一个不大于5位的数字,"三行
第一行 位数
第二行 用空格分开的每个数字，注意最后一个数字后没有空格
第三行 按逆序输出这个数",12345,"5
1 2 3 4 5
54321"
1015,利润分级,"企业发放的奖金根据利润提成。利润低于或等于100000元的，奖金可提10%;利润高于100000元，低于200000元（100000<I≤200000）时，低于100000元的部分按10％提成，高于100000元的部分，可提成 7.5%;200000<I≤400000时，低于200000元部分仍按上述办法提成，（下同），高于200000元的部分按5％提成；400000<I≤600000元时，高于400000元的部分按3％提成；600000<I≤1000000时，高于600000元的部分按1.5%提成；I>1000000时，超过1000000元的部分按1%提成。从键盘输入当月利润I,求应发奖金总数。",一个整数，当月利润。,一个整数，奖金。,900,90
1016,大小写字母转换,,大写字母,,A,"a
97"
1017,字符输入输出,,,,BOY,BOY
1018,单双精度输入输出,给定一个数a，输出这个数，要求保留两位小数,输入一个数,按要求输出,3.1415926,3.14
1019,成绩分级,"给出一百分制成绩，要求输出成绩等级‘A’、‘B’、‘C’、‘D’、‘E’。
90分以上为A
80-89分为B
70-79分为C
60-69分为D
60分以下为E。要求调用函数",一个整数0－100以内,一个字符，表示成绩等级,90,A
1020,公约数和公倍数,输入两个正整数m和n，求其最大公约数和最小公倍数。,两个整数,最大公约数，最小公倍数,5 7,1 35
1021,统计字符个数,输入一行字符，分别统计出其中英文字母、数字、空格和其他字符的个数。,一行字符,统计值,aklsjflj123 sadf918u324 asdf91u32oasdf/.';123,23 16 2 4
1022,简简单单,"求Sn=a+aa+aaa+…+aa…aaa（有n个a）之值，其中a是一个数字。
例如：2+22+222+2222+22222（n=5），n由键盘输入。",n,和,5,24690
1023,阶乘和,求Sn=1!+2!+3!+4!+5!+…+n!之值，其中n是一个数字。,n,和,5,153
1024,求和,"求以下三数的和,保留2位小数
1~a之和
1~b的平方和
1~c的倒数和",a b c,1+2+...+a + 1^2+2^2+...+b^2 + 1/1+1/2+...+1/c,100 50 10,47977.93
1025,水仙花数,"打印出所有""水仙花数""，所谓""水仙花数""是指一个三位数，其各位数字立方和等于该本身。
例如：153是一个水仙花数，因为153=1^3+5^3+3^3。
Output:",无,"所有的水仙花数，从小的开始。
每行一个",,
1026,完数,"一个数如果恰好等于它的因子之和，这个数就称为""完数""。 例如，6的因子为1、2、3，而6=1+2+3，因此6是""完数""。 编程序找出N之内的所有完数，并按下面格式输出其因子：",N,X its factors are x x x,1000,"6 its factors are 1 2 3 
28 its factors are 1 2 4 7 14 
496 its factors are 1 2 4 8 16 31 62 124 248"
1027,前N项和,"有一分数序列：  
2/1 3/2 5/3 8/5 13/8 21/13......
求出这个数列的前N项之和，保留两位小数。",N,数列前N项和,10,16.48
1028,反弹又下落,"一球从M米高度自由下落，每次落地后返回原高度的一半，再落下。
它在第N次落地时反弹多高？共经过多少米？
保留两位小数",M N,"它在第N次落地时反弹多高？共经过多少米？
保留两位小数，空格隔开，放在一行",1000 5,31.25 2875.00
1029,猴子吃桃,"猴子吃桃问题。猴子第一天摘下若干个桃子，当即吃了一半，还不过瘾，又多吃了一个。
第二天早上又将剩下的桃子吃掉一半，又多吃一个。以后每天早上都吃了前一天剩下的一半零一个。
到第N天早上想再吃时，见只剩下一个桃子了。求第一天共摘多少桃子。",N,桃子总数,10,1534
1030,迭代法求根,"用迭代法求 。求平方根的迭代公式为：  
X[n+1]=1/2(X[n]+a/X[n])
要求前后两次求出的得差的绝对值少于0.00001。
输出保留3位小数",X,X的平方根,4,2.000
1031,【提高】筛法求素数(数据已加强，欢迎来测试,用筛法求之N内的素数。0<N<1000000。,N,0～N的素数,100,"2
3
5
7
11
13
17
19
23
29
31
37
41
43
47
53
59
61
67
71
73
79
83
89
97"
1032,选择法排序,用选择法对10个整数从小到大排序。,10个整数,排序好的10个整数,4 85  3 234 45 345 345 122 30 12,"3
4
12
30
45
85
122
234
345
345"
1033,矩阵元素之和,求一个3×3矩阵对角线元素之和。,矩阵,主对角线 副对角线 元素和,"1 2 3
1 1 1
3 2 1",3 7
1034,插入排序,已有一个已排好的9个元素的数组，今输入一个数要求按原来排序的规律将它插入数组中。,"第一行，原始数列。
第二行，需要插入的数字。",排序后的数列,"1 7 8 17 23 24 59 62 101
50","1
7
8
17
23
24
50
59
62
101"
1035,逆序输出,输入10个数字，然后逆序输出。,十个整数,逆序输出，空格分开,1 2 3 4 5 6 7 8 9 0,0 9 8 7 6 5 4 3 2 1
1036,最大公约数和公倍数,写两个函数，分别求两个整数的最大公约数和最小公倍数，用主函数调用这两个函数，并输出结果两个整数由键盘输入。,两个数,最大公约数 最小公倍数,6 15,3 30
1037,解方程,求方程 的根，用三个函数分别求当b^2-4ac大于0、等于0、和小于0时的根，并输出结果。从主函数输入a、b、c的值。,a b c,x1=? x2=?,4 1 1,x1=-0.125+0.484i x2=-0.125-0.484i
1038,又见素数,写一个判断素数的函数，在主函数输入一个整数，输出是否是素数的消息。,一个数,"如果是素数输出prime
如果不是输出not prime",97,prime
1039,转置矩阵,写一个函数，使给定的一个二维数组（３×３）转置，即行列互换。,一个3x3的矩阵,转置后的矩阵,"1 2 3
4 5 6
7 8 9","1 4 7 
2 5 8 
3 6 9"
1040,反转字符串,写一函数，使输入的一个字符串按反序存放，在主函数中输入输出反序后的字符串。,一行字符,逆序后的字符串,123456abcdef,fedcba654321
1041,字符拼接,写一函数，将两个字符串连接,两行字符串,链接后的字符串,"123
abc",123abc
1042,还记得中学的元音字母？,写一函数，将两个字符串中的元音字母复制到另一个字符串，然后输出。,一行字符串,顺序输出其中的元音字母（aeiuo）,abcde,ae
1043,分解,"写一函数，输入一个四位数字，要求输出这四个数字字符，但每两个数字间空格。如输入1990，应输出""1 9 9 0""。",一个四位数,增加空格输出,1990,1 9 9 0
1044,又见字符统计,"编写一函数，由实参传来一个字符串，统计此字符串中字母、数字、空格和其它字符的个数，在主函数中输入字符串以及输出上述结果。
只要结果，别输出什么提示信息。",一行字符串,统计数据，4个数字，空格分开。,!@#$%^QWERT    1234567,5 7 4 6
1045,互换,定义一个带参的宏，使两个参数的值互换，并写出程序，输入两个数作为使用宏时的实参。输出已交换后的两个值。,两个数，空格隔开,交换后的两个数，空格隔开,1 2,2 1
1046,mod,输入两个整数，求他们相除的余数。用带参的宏来实现，编程序。,a b两个数,a/b的余数,3 2,1
1047,三角形面积,"三角形面积=SQRT(S*(S-a)*(S-b)*(S-c))
其中S=(a+b+c)/2，a、b、c为三角形的三边。
定义两个带参的宏，一个用来求area，
另一个宏用来求S。
写程序，在程序中用带实参的宏名来求面积area。","a b c三角形的三条边,可以是小数。",三角形面积，保留3位小数,3 4 5,6.000
1048,闰年判断,"给年份year，定义一个宏，以判别该年份是否闰年。提示：宏名可以定义为LEAP_YEAR，形参为y，既定义宏的形式为  
#define LEAP_YEAR(y) （读者设计的字符串）",一个年份,"根据是否闰年输出，是输出""L"",否输出""N""",2000,L
1049,输出吧,"请设计输出实数的格式，包括：⑴一行输出一个实数；⑵一行内输出两个实数；⑶一行内输出三个实数。实数用""6.2f""格式输出。",一个实数，float范围,"输出3行，第一行打印一遍输入的数，第二行打印两遍，第三行打印三遍。
第二行和第三行，用空格分隔同一行的数字。
实数用""6.2f""格式输出。",0.618,"0.62
  0.62   0.62
  0.62   0.62   0.62"
1000,按要求输出信息(1),,无,,无,This is my first c program!
1001,按要求输出信息(2),,,,无,"******************** 
Very Good! 
********************"
1002,求两个整数之和(1),,,,无,sum=579
1003,求两整数数之和(2),,,,5 6,11
1004,求两个整数之和(3),,,,"1 5
10 20","6
30"
1005,矩形面积,,输入数a表示矩形的长，输入数b表示矩形的宽。结果保留两位小数,输出矩形的面积,1 2,2.00
1006,求平均值,,输入三个数a，b，c。,输出a，b，c的和以及平均值，结果保留两位小数,4.3 5.1 9.8,19.20 6.40
1007,幸运8倍,,,,3,24
1008,最大值,编写一个程序，输入a、b、c三个值，输出其中最大值。,一行数组，分别为a b c,a b c其中最大的数,10 20 30,30
1009,译码,"要将""China""译成密码，译码规律是：用原来字母后面的第4个字母代替原来的字母．例如，字母""A""后面第4个字母是""E""．""E""代替""A""。因此，""China""应译为""Glmre""。请编一程序，用赋初值的方法使cl、c2、c3、c4、c5五个变量的值分别为，’C’、’h’、’i’、’n’、’a’，经过运算，使c1、c2、c3、c4、c5分别变为’G’、’l’、’m’、’r’、’e’，并输出。",China,加密后的China,China,Glmre
1010,我是圆  （精度问题，欢迎尝试踩坑）,"设圆半径r，圆柱高h
求圆周长C1、圆面积Sa、圆球表面积Sb、圆球体积Va、圆柱体积Vb。
用scanf输入数据，输出计算结果，输出时要求文字说明，取小数点后两位数字。请编程序。
PI＝3.14",两个浮点数，r和h,"圆周长C1、圆面积Sa、圆球表面积Sb、圆球体积Va、圆柱体积Vb。
保留两位小数，每个结果后换行。",1.5 3,"C1=9.42
Sa=7.06    //精度问题数据
Sb=28.26
Va=14.13
Vb=21.20   //精度问题数据"
1011,摄氏度转换,"输入一个华氏温度，要求输出摄氏温度。公式为  
c=5(F-32)/9  
输出要求有文字说明，取位2小数。",一个华氏温度，浮点数,摄氏温度，浮点两位小数,-40,c=-40.00
1012,分段函数,有一个函数y={ x      x<1| 2x-1   1<=x<10\ 3x-11  x>=10写一段程序，输入x，输出y,一个数x,一个数y,14,31
1013,成绩转换,"给出一百分制成绩，要求输出成绩等级‘A’、‘B’、‘C’、‘D’、‘E’。
90分以上为A
80-89分为B
70-79分为C
60-69分为D
60分以下为E",一个整数0－100以内,一个字符，表示成绩等级,90,A
1014,整数分解,"给出一个不多于5位的整数，要求
1、求出它是几位数
2、分别输出每一位数字
3、按逆序输出各位数字，例如原数为321,应输出123",一个不大于5位的数字,"三行
第一行 位数
第二行 用空格分开的每个数字，注意最后一个数字后没有空格
第三行 按逆序输出这个数",12345,"5
1 2 3 4 5
54321"
1015,利润分级,"企业发放的奖金根据利润提成。利润低于或等于100000元的，奖金可提10%;利润高于100000元，低于200000元（100000<I≤200000）时，低于100000元的部分按10％提成，高于100000元的部分，可提成 7.5%;200000<I≤400000时，低于200000元部分仍按上述办法提成，（下同），高于200000元的部分按5％提成；400000<I≤600000元时，高于400000元的部分按3％提成；600000<I≤1000000时，高于600000元的部分按1.5%提成；I>1000000时，超过1000000元的部分按1%提成。从键盘输入当月利润I,求应发奖金总数。",一个整数，当月利润。,一个整数，奖金。,900,90
1016,大小写字母转换,,大写字母,,A,"a
97"
1017,字符输入输出,,,,BOY,BOY
1018,单双精度输入输出,给定一个数a，输出这个数，要求保留两位小数,输入一个数,按要求输出,3.1415926,3.14
1019,成绩分级,"给出一百分制成绩，要求输出成绩等级‘A’、‘B’、‘C’、‘D’、‘E’。
90分以上为A
80-89分为B
70-79分为C
60-69分为D
60分以下为E。要求调用函数",一个整数0－100以内,一个字符，表示成绩等级,90,A
1020,公约数和公倍数,输入两个正整数m和n，求其最大公约数和最小公倍数。,两个整数,最大公约数，最小公倍数,5 7,1 35
1021,统计字符个数,输入一行字符，分别统计出其中英文字母、数字、空格和其他字符的个数。,一行字符,统计值,aklsjflj123 sadf918u324 asdf91u32oasdf/.';123,23 16 2 4
1022,简简单单,"求Sn=a+aa+aaa+…+aa…aaa（有n个a）之值，其中a是一个数字。
例如：2+22+222+2222+22222（n=5），n由键盘输入。",n,和,5,24690
1023,阶乘和,求Sn=1!+2!+3!+4!+5!+…+n!之值，其中n是一个数字。,n,和,5,153
1024,求和,"求以下三数的和,保留2位小数
1~a之和
1~b的平方和
1~c的倒数和",a b c,1+2+...+a + 1^2+2^2+...+b^2 + 1/1+1/2+...+1/c,100 50 10,47977.93
1025,水仙花数,"打印出所有""水仙花数""，所谓""水仙花数""是指一个三位数，其各位数字立方和等于该本身。
例如：153是一个水仙花数，因为153=1^3+5^3+3^3。
Output:",无,"所有的水仙花数，从小的开始。
每行一个",,
1026,完数,"一个数如果恰好等于它的因子之和，这个数就称为""完数""。 例如，6的因子为1、2、3，而6=1+2+3，因此6是""完数""。 编程序找出N之内的所有完数，并按下面格式输出其因子：",N,X its factors are x x x,1000,"6 its factors are 1 2 3 
28 its factors are 1 2 4 7 14 
496 its factors are 1 2 4 8 16 31 62 124 248"
1027,前N项和,"有一分数序列：  
2/1 3/2 5/3 8/5 13/8 21/13......
求出这个数列的前N项之和，保留两位小数。",N,数列前N项和,10,16.48
1028,反弹又下落,"一球从M米高度自由下落，每次落地后返回原高度的一半，再落下。
它在第N次落地时反弹多高？共经过多少米？
保留两位小数",M N,"它在第N次落地时反弹多高？共经过多少米？
保留两位小数，空格隔开，放在一行",1000 5,31.25 2875.00
1029,猴子吃桃,"猴子吃桃问题。猴子第一天摘下若干个桃子，当即吃了一半，还不过瘾，又多吃了一个。
第二天早上又将剩下的桃子吃掉一半，又多吃一个。以后每天早上都吃了前一天剩下的一半零一个。
到第N天早上想再吃时，见只剩下一个桃子了。求第一天共摘多少桃子。",N,桃子总数,10,1534
1030,迭代法求根,"用迭代法求 。求平方根的迭代公式为：  
X[n+1]=1/2(X[n]+a/X[n])
要求前后两次求出的得差的绝对值少于0.00001。
输出保留3位小数",X,X的平方根,4,2.000
1031,【提高】筛法求素数(数据已加强，欢迎来测试,用筛法求之N内的素数。0<N<1000000。,N,0～N的素数,100,"2
3
5
7
11
13
17
19
23
29
31
37
41
43
47
53
59
61
67
71
73
79
83
89
97"
1032,选择法排序,用选择法对10个整数从小到大排序。,10个整数,排序好的10个整数,4 85  3 234 45 345 345 122 30 12,"3
4
12
30
45
85
122
234
345
345"
1033,矩阵元素之和,求一个3×3矩阵对角线元素之和。,矩阵,主对角线 副对角线 元素和,"1 2 3
1 1 1
3 2 1",3 7
1034,插入排序,已有一个已排好的9个元素的数组，今输入一个数要求按原来排序的规律将它插入数组中。,"第一行，原始数列。
第二行，需要插入的数字。",排序后的数列,"1 7 8 17 23 24 59 62 101
50","1
7
8
17
23
24
50
59
62
101"
1035,逆序输出,输入10个数字，然后逆序输出。,十个整数,逆序输出，空格分开,1 2 3 4 5 6 7 8 9 0,0 9 8 7 6 5 4 3 2 1
1036,最大公约数和公倍数,写两个函数，分别求两个整数的最大公约数和最小公倍数，用主函数调用这两个函数，并输出结果两个整数由键盘输入。,两个数,最大公约数 最小公倍数,6 15,3 30
1037,解方程,求方程 的根，用三个函数分别求当b^2-4ac大于0、等于0、和小于0时的根，并输出结果。从主函数输入a、b、c的值。,a b c,x1=? x2=?,4 1 1,x1=-0.125+0.484i x2=-0.125-0.484i
1038,又见素数,写一个判断素数的函数，在主函数输入一个整数，输出是否是素数的消息。,一个数,"如果是素数输出prime
如果不是输出not prime",97,prime
1039,转置矩阵,写一个函数，使给定的一个二维数组（３×３）转置，即行列互换。,一个3x3的矩阵,转置后的矩阵,"1 2 3
4 5 6
7 8 9","1 4 7 
2 5 8 
3 6 9"
1040,反转字符串,写一函数，使输入的一个字符串按反序存放，在主函数中输入输出反序后的字符串。,一行字符,逆序后的字符串,123456abcdef,fedcba654321
1041,字符拼接,写一函数，将两个字符串连接,两行字符串,链接后的字符串,"123
abc",123abc
1042,还记得中学的元音字母？,写一函数，将两个字符串中的元音字母复制到另一个字符串，然后输出。,一行字符串,顺序输出其中的元音字母（aeiuo）,abcde,ae
1043,分解,"写一函数，输入一个四位数字，要求输出这四个数字字符，但每两个数字间空格。如输入1990，应输出""1 9 9 0""。",一个四位数,增加空格输出,1990,1 9 9 0
1044,又见字符统计,"编写一函数，由实参传来一个字符串，统计此字符串中字母、数字、空格和其它字符的个数，在主函数中输入字符串以及输出上述结果。
只要结果，别输出什么提示信息。",一行字符串,统计数据，4个数字，空格分开。,!@#$%^QWERT    1234567,5 7 4 6
1045,互换,定义一个带参的宏，使两个参数的值互换，并写出程序，输入两个数作为使用宏时的实参。输出已交换后的两个值。,两个数，空格隔开,交换后的两个数，空格隔开,1 2,2 1
